Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois,Enneigement
Jeu. 4,22.2 °C,14.7 °C,6 mm,5.2 h,,2025,9,
Ven. 5,23.2 °C,13.5 °C,0 mm,10.1 h,,2025,9,
Sam. 6,25.3 °C,12.4 °C,0 mm,11.9 h,,2025,9,
Dim. 7,31.2 °C,15.6 °C,0 mm (Tr),8 h,,2025,9,
Lun. 8,23.4 °C,18.1 °C,0 mm,4.2 h,,2025,9,
Mar. 9,23.1 °C,14.4 °C,0 mm,8.8 h,,2025,9,
Mer. 10,20.9 °C,11.8 °C,4.4 mm,3.8 h,,2025,9,
Jeu. 11,20.7 °C,13.5 °C,2.4 mm,4.4 h,,2025,9,
Ven. 12,20.5 °C,11.6 °C,0.2 mm,9.8 h,,2025,9,
Sam. 13,19.7 °C,13.4 °C,4.8 mm,1.6 h,,2025,9,
Dim. 14,20.6 °C,13.7 °C,1.6 mm,0.6 h,,2025,9,
Lun. 15,21.2 °C,15.7 °C,0 mm,7.9 h,,2025,9,
Mar. 16,19.1 °C,12.5 °C,0 mm,3.8 h,,2025,9,
Mer. 17,22.7 °C,12.9 °C,0 mm,7.4 h,,2025,9,
Jeu. 18,25.3 °C,12.5 °C,0.2 mm,11.3 h,,2025,9,
Ven. 19,30.4 °C,13 °C,0 mm,11.6 h,,2025,9,
Sam. 20,21.2 °C,18.8 °C,8 mm,0.4 h,,2025,9,
Dim. 21,18.7 °C,13.8 °C,0 mm,2.1 h,,2025,9,
Lun. 22,17.1 °C,10.4 °C,1.8 mm,6.6 h,,2025,9,
Mar. 23,15.3 °C,10.3 °C,7.8 mm,0 h,,2025,9,
Mer. 24,10.9 °C,10.3 °C,5 mm,0 h,,2025,9,
Jeu. 25,12.7 °C,10 °C,0.4 mm,0 h,,2025,9,
Ven. 26,15.1 °C,10 °C,0 mm (Tr),0.6 h,,2025,9,
Sam. 27,15.9 °C,11 °C,0 mm,0.8 h,,2025,9,
Dim. 28,20.4 °C,8.3 °C,0.2 mm,9 h,,2025,9,
Lun. 29,21.6 °C,10.2 °C,0 mm,8.7 h,,2025,9,
Mar. 30,19.4 °C,10.8 °C,0.2 mm,10.1 h,,2025,9,
Mer. 1,20 °C,9.9 °C,0 mm,8.8 h,,2025,10,
Jeu. 2,19.3 °C,9 °C,0.2 mm,7 h,,2025,10,
Ven. 3,18.7 °C,11.5 °C,3.4 mm,0 h,,2025,10,
Sam. 4,18 °C,10.9 °C,7.7 mm,5.7 h,,2025,10,
Dim. 5,17.1 °C,10.4 °C,0 mm (Tr),7.5 h,,2025,10,
Lun. 6,16.4 °C,10.3 °C,0 mm,1.1 h,,2025,10,
Mar. 7,19.8 °C,9.7 °C,0 mm,8.9 h,,2025,10,
Mer. 8,17.1 °C,11.5 °C,0 mm,2.5 h,,2025,10,
Jeu. 9,19.3 °C,12.6 °C,0 mm,3.9 h,,2025,10,
Ven. 10,15 °C,11 °C,0 mm,0 h,,2025,10,
Sam. 11,18.9 °C,11.3 °C,0 mm,9.7 h,,2025,10,
Dim. 12,19.3 °C,9.7 °C,0 mm,10.2 h,,2025,10,
Lun. 13,16.6 °C,10.5 °C,0 mm,2.1 h,,2025,10,
Mar. 14,19 °C,12.9 °C,0 mm,6.7 h,,2025,10,
Mer. 15,15.8 °C,11.3 °C,0 mm,0.7 h,,2025,10,
Jeu. 16,15.1 °C,10.6 °C,0 mm,0.6 h,,2025,10,
Ven. 17,17.7 °C,9.7 °C,0 mm,5.4 h,,2025,10,
Sam. 18,17.3 °C,8.5 °C,0 mm,7.5 h,,2025,10,
Dim. 19,15.8 °C,8.9 °C,4.8 mm,0 h,,2025,10,
Lun. 20,18.3 °C,13.1 °C,0.8 mm,1.7 h,,2025,10,
Mar. 21,17.3 °C,11.4 °C,0.4 mm,3.9 h,,2025,10,
Mer. 22,17.4 °C,12.7 °C,5.9 mm,0.9 h,,2025,10,
Jeu. 23,14.2 °C,10.8 °C,2.4 mm,2 h,,2025,10,
Ven. 24,13.7 °C,6.4 °C,0 mm (Tr),6.5 h,,2025,10,
Sam. 25,14.5 °C,9.3 °C,1.4 mm,5 h,,2025,10,
Dim. 26,12.8 °C,7.2 °C,1.6 mm,5.2 h,,2025,10,
Lun. 27,15.4 °C,9.2 °C,1 mm,3.5 h,,2025,10,
Mar. 28,15.1 °C,10.5 °C,0 mm,0.7 h,,2025,10,
Mer. 29,15 °C,10.4 °C,12.3 mm,1.1 h,,2025,10,
Jeu. 30,14.6 °C,7.4 °C,0 mm,6.9 h,,2025,10,
Ven. 31,16.9 °C,8.1 °C,0.4 mm,1.7 h,,2025,10,
Sam. 1,15.4 °C,12.5 °C,4 mm,1 h,,2025,11,0 cm
Dim. 2,14.2 °C,10.1 °C,1.2 mm,3.3 h,,2025,11,0 cm
Lun. 3,15.2 °C,7.3 °C,0.2 mm,1.7 h,,2025,11,0 cm
Mar. 4,17.3 °C,8.6 °C,0 mm,6.9 h,,2025,11,0 cm
Mer. 5,17.8 °C,10.9 °C,0 mm,4.3 h,,2025,11,0 cm
Jeu. 6,15 °C,12.4 °C,1.2 mm,0 h,,2025,11,0 cm
Ven. 7,13.9 °C,9.2 °C,0 mm (Tr),0 h,,2025,11,0 cm
Sam. 8,14.1 °C,10.2 °C,0.8 mm,1.3 h,,2025,11,0 cm
Dim. 9,11 °C,8.6 °C,0 mm,1.3 h,,2025,11,0 cm
Lun. 10,12.4 °C,7.2 °C,0.4 mm,1.3 h,,2025,11,0 cm
Mar. 11,14.7 °C,8.5 °C,0 mm,2.1 h,,2025,11,0 cm
Mer. 12,15.5 °C,8 °C,0 mm,2.7 h,,2025,11,0 cm
Jeu. 13,17 °C,10.7 °C,0.2 mm,2.4 h,,2025,11,0 cm
Ven. 14,19.6 °C,14.4 °C,0.2 mm,0.7 h,,2025,11,0 cm
Sam. 15,14.3 °C,11.9 °C,4.2 mm,1.5 h,,2025,11,0 cm
Dim. 16,12.2 °C,9.9 °C,0 mm,0.1 h,,2025,11,0 cm
Lun. 17,10.6 °C,5.9 °C,0.4 mm,2.2 h,,2025,11,0 cm
Mar. 18,9 °C,1.2 °C,0.4 mm,7.1 h,,2025,11,0 cm
Mer. 19,8.4 °C,4.5 °C,5.2 mm,1.8 h,,2025,11,0 cm
Jeu. 20,5.9 °C,2.5 °C,0 mm (Tr),4.4 h,,2025,11,0 cm
Ven. 21,3.8 °C,0.4 °C,0.6 mm,0 h,,2025,11,0 cm
Sam. 22,1 °C,-1.7 °C,1 mm,0.1 h,,2025,11,1 cm
Dim. 23,7.2 °C,-0.3 °C,5 mm,0 h,,2025,11,3 cm
Lun. 24,10.7 °C,6.4 °C,2.2 mm,3.9 h,,2025,11,0 cm
Mar. 25,8.2 °C,6.2 °C,0.6 mm,0 h,,2025,11,0 cm
Mer. 26,8.4 °C,5 °C,0 mm (Tr),1.5 h,,2025,11,0 cm
Jeu. 27,8.1 °C,2.4 °C,2.4 mm,0 h,,2025,11,0 cm
Ven. 28,10.6 °C,7.1 °C,1.8 mm,0 h,,2025,11,0 cm
Sam. 29,11.4 °C,8.3 °C,4.2 mm,0 h,,2025,11,0 cm
Dim. 30,9.2 °C,5.8 °C,0.2 mm,5.2 h,,2025,11,0 cm
